"nid","species"
"8441","alder"
"8441",""
"8441",""
"8441",""
"8406","alder"
"8406","grass"
"8406",""
"8406",""
"8406",""
"8406",""
"8401","houres tail"
"8401","black berry"
"8401","netal"
"8401","moss"
"8401","clover"
"8401","alder"
"6679","Purple Bug Eater"
"6679",""
"6679",""
"6679",""
"6679",""
"6679",""
"6555",""
"6555",""
"6555",""
"6555",""
"6555",""
"6555",""
"6226","willow"
"6226","ash"
"6226","birch"
"6226","black berry"
"6226",""
"6226",""
"5963","Douglad Fir"
"5963","Big Leaf Maple"
"5963","Sword Fern"
"5963",""
"5963",""
"5963",""
"5960","Douglad fir"
"5960","Sword Fern"
"5960","Big Leaf Maple"
"5960","English Holly"
"5960","Himalyan Blackberry"
"5960",""
"5957","Douglas Fir"
"5957","Sword Fern"
"5957","Oregon Grape"
"5957",""
"5957",""
"5957",""
"5954","Douglas fir"
"5954","Big Leaf maple"
"5954","Grass"
"5954",""
"5954",""
"5954",""
"5950","Douglas Fir"
"5950","Sword Fern"
"5950",""
"5950",""
"5950",""
"5950",""
"5947","Douglas Fir"
"5947","Big Leaf Maple"
"5947","Sword Fern"
"5947",""
"5947",""
"5947",""
"5595","rough-skinned newt"
"5595",""
"5595",""
"5595",""
"5595",""
"5595",""
"5572","felix"
"5572",""
"5572",""
"5572",""
"5572",""
"5572",""
"5361","Sword Fern"
"5361","Blackberries"
"5361","English Ivy"
"5361","Cottonwood"
"5361","Nonnative Plum"
"5361","Moss"
"5027",""
"5027",""
"5027",""
"5027",""
"5027",""
"5027",""
"5024","cottonwood"
"5024","willlow"
"5024","grass"
"5024",""
"5024",""
"5024",""
"4443",""
"4443",""
"4443",""
"4443",""
"4443",""
"4443",""
"3955","Ferns?"
"3955","Oaks"
"3955",""
"3955",""
"3955",""
"3955",""
"3751",""
"3751",""
"3751",""
"3751",""
"3751",""
"3751",""
"3749",""
"3749",""
"3749",""
"3749",""
"3749",""
"3749",""
"3747",""
"3747",""
"3747",""
"3747",""
"3747",""
"3747",""
"3745",""
"3745",""
"3745",""
"3745",""
"3745",""
"3745",""
"3743",""
"3743",""
"3743",""
"3743",""
"3743",""
"3743",""
"3741",""
"3741",""
"3741",""
"3741",""
"3741",""
"3741",""
"3244",""
"3244",""
"3244",""
"3244",""
"3244",""
"3244",""
"2817",""
"2817",""
"2817",""
"2817",""
"2817",""
"2817",""
"2792",""
"2792",""
"2792",""
"2792",""
"2792",""
"2792",""
"2692",""
"2692",""
"2692",""
"2692",""
"2692",""
"2692",""
"2689","willow"
"2689","cottonwood"
"2689","ponderosa pine"
"2689",""
"2689",""
"2689",""
"2487",""
"2487",""
"2487",""
"2487",""
"2487",""
"2487",""
"2483",""
"2483",""
"2483",""
"2483",""
"2483",""
"2483",""
"2482","Salal"
"2482",""
"2482",""
"2482",""
"2482",""
"2482",""
"2480","blackberries"
"2480","poplars"
"2480",""
"2480",""
"2480",""
"2480",""
"2479","oxalis"
"2479",""
"2479",""
"2479",""
"2479",""
"2479",""
"2477","snowbrush"
"2477",""
"2477",""
"2477",""
"2477",""
"2477",""
